word,feminine,neuter,comparative,superlative,adverb,declension,adj_stem
colossicos,colossica,colossicon,colossicior,,,12,colossic
comitabilis,comitabilis,comitabile,comitabilior,,,3,comitabil
communicarius,communicaria,communicarium,communicariior,,,12,communicari
compensativus,compensativa,compensativum,compensativior,,,12,compensativ
completivus,completiva,completivum,completivior,,,12,completiv
conditivus,conditiva,conditivum,conditivior,,,12,conditiv
confidentiloquus,confidentiloqua,confidentiloquum,confidentiloquior,,,12,confidentiloqu
conditionalis,conditionalis,conditionale,conditionalior,,,3,conditional
veclus,vetula,vetulum,vetulior,,,12,vetul
congiarius,congiaria,congiarium,congiariior,,,12,congiari
confligatus,confligata,confligatum,confligatior,,,12,confligat
coquinus,coquina,coquinum,coquinior,,,12,coquin
corruptivus,corruptiva,corruptivum,corruptivior,,,12,corruptiv
cubiculatus,cubiculata,cubiculatum,cubiculatior,,,12,cubiculat
cotoneus,cotonea,cotoneum,cotoneior,,,12,cotone
cellulosolvens,cellulosolvens,cellulosolvens,cellulosolventior,,,3,cellulosolvent
depolymerans,depolymerans,depolymerans,depolymerantior,,,3,depolymerant
salmoides,salmoides,salmoides,salmoidior,,,3,salmoid
precatorius,precatoria,precatorium,precatoriior,,,12,precatori
urealyticus,urealytica,urealyticum,urealyticior,,,12,urealytic
saccharolyticus,saccharolytica,saccharolyticum,saccharolyticior,,,12,saccharolytic
xylanolyticus,xylanolytica,xylanolyticum,xylanolyticior,,,12,xylanolytic
daemoniacus,daemoniaca,daemoniacum,daemoniacior,,,12,daemoniac
daemonicus,daemonica,daemonicum,daemonicior,,,12,daemonic
damnaticius,damnaticia,damnaticium,damnaticiior,,,12,damnatici
damnabilis,damnabilis,damnabile,damnabilior,,,3,damnabil
capuchinus,capuchina,capuchinum,capuchinior,,,12,capuchin
fulviventris,fulviventris,fulviventre,fulviventrior,,,3,fulviventr
fuscicollis,fuscicollis,fuscicolle,fuscicollior,,,3,fuscicoll
datarius,dataria,datarium,datariior,,,12,datari
denominativus,denominativa,denominativum,denominativior,,,12,denominativ
dichoneutus,dichoneuta,dichoneutum,dichoneutior,,,12,dichoneut
discordabilis,discordabilis,discordabile,discordabilior,,,3,discordabil
dispatens,dispatens,dispatens,dispatentior,,,3,dispatent
districtivus,districtiva,districtivum,districtivior,,,12,districtiv
dolabratus,dolabrata,dolabratum,dolabratior,,,12,dolabrat
dusmosus,dusmosa,dusmosum,dusmosior,,,12,dusmos
