word,gender,irregular,pluralia_tantum
holmium_holmii,n,fa,fa
rhenium_rhenii,n,fa,fa
hafnium_hafnii,n,fa,fa
ytterbium_ytterbii,n,fa,fa
osmium_osmii,n,fa,fa
thallium_thallii,n,fa,fa
iridium_iridii,n,fa,fa
polonium_polonii,n,fa,fa
francium_francii,n,fa,fa
platinum_platini,n,fa,fa
thorium_thorii,n,fa,fa
actinium_actinii,n,fa,fa
protactinium_protactinii,n,fa,fa
neptunium_neptunii,n,fa,fa
americium_americii,n,fa,fa
uranium_uranii,n,fa,fa
radium_radii,n,fa,fa
curium_curii,n,fa,fa
radon_radi,n,fa,fa
plutonium_plutonii,n,fa,fa
californium_californii,n,fa,fa
berkelium_berkelii,n,fa,fa
einsteinium_einsteinii,n,fa,fa
nobelium_nobelii,n,fa,fa
lawrencium_lawrencii,n,fa,fa
mendelevium_mendelevii,n,fa,fa
fermium_fermii,n,fa,fa
rutherfordium_rutherfordii,n,fa,fa
seaborgium_seaborgii,n,fa,fa
bohrium_bohrii,n,fa,fa
hassium_hassii,n,fa,fa
roentgenium_roentgenii,n,fa,fa
ununquadium_ununquadii,n,fa,fa
dubnium_dubnii,n,fa,fa
meitnerium_meitnerii,n,fa,fa
ununtrium_ununtrii,n,fa,fa
ununhexium_ununhexii,n,fa,fa
ununoctium_ununoctii,n,fa,fa
ununseptium_ununseptii,n,fa,fa
ununpentium_ununpentii,n,fa,fa
accentor_accentoris,m,fa,fa
deuterium_deuterii,n,fa,fa
drachma_drachmae,f,fa,fa
Arcadia_Arcadiae,f,fa,fa
Phocis_Phocidis,f,fa,fa
error_erroris,m,fa,fa
foetus_foetus,m,fa,fa
Pella_Pellae,f,fa,fa
dator_datoris,m,fa,fa
laus_laudis,f,fa,fa
lexicon_lexici,n,fa,fa
mus_muris,mf,fa,fa
generatrix_generatricis,f,fa,fa
generator_generatoris,m,fa,fa
ignis_ignis,m,fa,fa
onus_oneris,n,fa,fa
spectrum_spectri,n,fa,fa
laurus_lauri,f,fa,fa
labor_laboris,m,fa,fa
laudanum_laudani,n,fa,fa
laudator_laudatoris,m,fa,fa
simulacrum_simulacri,n,fa,fa
accusatio_accusationis,f,fa,fa
accusans_accusantis,m,fa,fa
cherub_cherub,m,fa,fa
multicolor_multicoloris,f,fa,fa
mania_maniae,f,fa,fa
textile_textilis,n,fa,fa
promontorium_promontorii,n,fa,fa
smegma_smegmatis,n,fa,fa
acetabulum_acetabuli,n,fa,fa
acetum_aceti,n,fa,fa
apotheosis_apotheosis,f,fa,fa
phalanx_phalangis,f,fa,fa
calculus_calculi,m,fa,fa
algebra_algebrae,f,fa,fa
aqua_aquae,f,fa,fa
torus_tori,m,fa,fa
testa_testae,f,fa,fa
vector_vectoris,m,fa,fa
operator_operatoris,m,fa,fa
matrix_matricis,f,fa,fa
Florida_Floridae,f,fa,fa
onomatopoeia_onomatopoeiae,f,fa,fa
nexus_nexus,m,fa,fa
Mantua_Mantuae,f,fa,fa
Virginia_Virginiae,f,fa,fa
sulphur_sulphuris,n,fa,fa
Lemuria_Lemuriorum,n,fa,tr
Atlantis_Atlantidis,f,fa,fa
puer_pueri,m,fa,fa
papyrus_papyri,mf,fa,fa
Caserta_Casertae,f,fa,fa
ola_olae,f,fa,fa
Imperia_Imperiae,f,fa,fa
Latina_Latinae,f,fa,fa
parma_parmae,f,fa,fa
Messenia_Messeniae,f,fa,fa
Argolis_Argolidis,f,fa,fa
Laconia_Laconiae,f,fa,fa
Cyclades_Cycladum,f,fa,tr
Lesbos_Lesbi,f,fa,fa
lumen_luminis,n,fa,fa
candela_candelae,f,fa,fa
bunion_bunii,n,fa,fa
lux_lucis,f,fa,fa
insula_insulae,f,fa,fa
radius_radii,m,fa,fa
propolis_propolis,m,fa,fa
tuberculosis_tuberculoseos,f,fa,fa
gymnasium_gymnasii,n,fa,fa
altar_altaris,n,fa,fa
Montana_Montanae,f,fa,fa
paralysis_paralysis,f,fa,fa
Moses_Mosis,m,fa,fa
penumbra_penumbrae,f,fa,fa
panacea_panaceae,f,fa,fa
reptile_reptilis,n,fa,fa
axis_axis,m,fa,fa
rhombus_rhombi,m,fa,fa
oryx_orygis,m,fa,fa
labia_labiae,f,fa,fa
hyaena_hyaenae,f,fa,fa
hippopotamus_hippopotami,m,fa,fa
automaton_automati,n,fa,fa
Zeus_Dios,m,fa,fa
Andros_Andri,f,fa,fa
Mytilene_Mytilenes,f,fa,fa
Delphi_Delphorum,m,fa,tr
cos_cotis,f,fa,fa
Lamia_Lamiae,mf,fa,fa
afflatus_afflatus,m,fa,fa
minor_minoris,m,fa,fa
drama_dramatis,n,fa,fa
stamen_staminis,n,fa,fa
pale_pales,f,fa,fa
hernia_herniae,f,fa,fa
papa_papae,mf,fa,fa
caucus_cauci,m,fa,fa
patata_patatae,f,fa,fa
bes_bessis,m,fa,fa
clitoris_clitoridis,f,fa,fa
pabulum_pabuli,n,fa,fa
ars_artis,f,fa,fa
cubiculum_cubiculi,n,fa,fa
curio_curionis,m,fa,fa
vulpes_vulpis,f,fa,fa
avus_avi,m,fa,fa
harmonia_harmoniae,f,fa,fa
frater_fratris,m,fa,fa
rex_regis,m,fa,fa
pater_patris,m,fa,fa
abbas_abbatis,m,fa,fa
avis_avis,f,fa,fa
rutrum_rutri,n,fa,fa
rosetum_roseti,n,fa,fa
nanus_nani,m,fa,fa
mater_matris,f,fa,fa
navicula_naviculae,f,fa,fa
rosarium_rosarii,n,fa,fa
naufragium_naufragii,n,fa,fa
ros_roris,m,fa,fa
nix_nivis,f,fa,fa
bacterium_bacterii,n,fa,fa
appendix_appendicis,f,fa,fa
antenna_antennae,f,fa,fa
rosa_rosae,f,fa,fa
alumnus_alumni,m,fa,fa
corpus_corporis,n,fa,fa
criterion_criterii,n,fa,fa
nebula_nebulae,f,fa,fa
curriculum_curriculi,n,fa,fa
ellipsis_ellipsis,f,fa,fa
hypothesis_hypothesis,f,fa,fa
fungus_fungi,m,fa,fa
datum_dati,n,fa,fa
synopsis_synopsis,f,fa,fa
stimulus_stimuli,m,fa,fa
series_seriei,f,fa,fa
formula_formulae,f,fa,fa
medium_medii,n,fa,fa
focus_foci,m,fa,fa
stratum_strati,n,fa,fa
thesis_thesis,f,fa,fa
synthesis_synthesis,f,fa,fa
urbs_urbis,f,fa,fa
ursa_ursae,f,fa,fa
ursus_ursi,m,fa,fa
pollex_pollicis,m,fa,fa
poeta_poetae,m,fa,fa
pons_pontis,m,fa,fa
unda_undae,f,fa,fa
hippotoxotae_hippotoxotarum,m,fa,tr
navis_navis,f,fa,fa
nux_nucis,f,fa,fa
vita_vitae,f,fa,fa
vulnus_vulneris,n,fa,fa
hybrida_hybridae,f,fa,fa
romanus_romani,m,fa,fa
xiphias_xiphiae,m,fa,fa
tyrannicida_tyrannicidae,m,fa,fa
vacca_vaccae,f,fa,fa
agricola_agricolae,m,fa,fa
pelta_peltae,f,fa,fa
peltastes_peltastae,m,fa,fa
Christianus_Christiani,m,fa,fa
arx_arcis,f,fa,fa
cometes_cometae,m,fa,fa
uxor_uxoris,f,fa,fa
aquaeductus_aquaeductus,m,fa,fa
aper_apri,m,fa,fa
centaurus_centauri,m,fa,fa
agellus_agelli,m,fa,fa
agrellus_agrelli,m,fa,fa
ventulus_ventuli,m,fa,fa
ager_agri,m,fa,fa
bestiola_bestiolae,f,fa,fa
opusculum_opusculi,n,fa,fa
homunculus_homunculi,m,fa,fa
Servius_Servii,m,fa,fa
servitudo_servitudinis,f,fa,fa
servitus_servitutis,f,fa,fa
opus_operis,n,fa,fa
serva_servae,f,fa,fa
xenium_xenii,n,fa,fa
bestia_bestiae,f,fa,fa
viverra_viverrae,f,fa,fa
sagitta_sagittae,f,fa,fa
sagittarius_sagittarii,m,fa,fa
homo_hominis,m,fa,fa
vir_viri,m,fa,fa
via_viae,f,fa,fa
vinum_vini,n,fa,fa
virgo_virginis,f,fa,fa
vetera_veterum,n,fa,tr
veteres_veterum,m,fa,tr
turpiloquium_turpiloquii,n,fa,fa
vespa_vespae,f,fa,fa
cygnus_cygni,m,fa,fa
symmetria_symmetriae,f,fa,fa
syllaba_syllabae,f,fa,fa
pyra_pyrae,f,fa,fa
dynastes_dynastae,m,fa,fa
hydrus_hydri,m,fa,fa
zodiacus_zodiaci,m,fa,fa
hymnus_hymni,m,fa,fa
lyra_lyrae,f,fa,fa
hydra_hydrae,f,fa,fa
symphonia_symphoniae,f,fa,fa
argyranche_argyranches,f,fa,fa
Nineve_Nineves,f,fa,fa
campe_campes,f,fa,fa
analphabetismus_analphabetismi,m,fa,fa
hecatombe_hecatombes,f,fa,fa
anaphysema_anaphysematis,n,fa,fa
acte_actes,f,fa,fa
vermis_vermis,m,fa,fa
picus_pici,m,fa,fa
harpe_harpes,f,fa,fa
anthropophagus_anthropophagi,m,fa,fa
obses_obsidis,mf,fa,fa
interventus_interventus,m,fa,fa
lupa_lupae,f,fa,fa
lactatio_lactationis,f,fa,fa
legislatio_legislationis,f,fa,fa
lacerta_lacertae,f,fa,fa
lanterna_lanternae,f,fa,fa
librarium_librarii,n,fa,fa
liberatio_liberationis,f,fa,fa
liberator_liberatoris,m,fa,fa
lex_legis,f,fa,fa
leo_leonis,m,fa,fa
librarius_librarii,m,fa,fa
serra_serrae,f,fa,fa
libra_librae,f,fa,fa
latus_lateris,n,fa,fa
pseudothyrum_pseudothyri,n,fa,fa
pseudopropheta_pseudoprophetae,m,fa,fa
pseudoprophetia_pseudoprophetiae,m,fa,fa
psittacus_psittaci,m,fa,fa
psychomantium_psychomantii,n,fa,fa
pugio_pugionis,m,fa,fa
pugiunculus_pugiunculi,m,fa,fa
zotheca_zothecae,f,fa,fa
liber_liberi,m,fa,fa
liber_libri,m,fa,fa
metropolis_metropolis,f,fa,fa
machina_machinae,f,fa,fa
zona_zonae,f,fa,fa
Kaeso_Kaesonis,m,fa,fa
kadamitas_kadamitatis,f,fa,fa
Marcus_Marci,m,fa,fa
libido_libidinis,f,fa,fa
moecha_moechae,f,fa,fa
epulae_epularum,f,tr,tr
nymphe_nymphes,f,fa,fa
femur_feminis,n,fa,fa
vinculum_vinculi,n,fa,fa
puella_puellae,f,fa,fa
pugna_pugnae,f,fa,fa
passerculus_passerculi,m,fa,fa
cornu_cornus,n,fa,fa
passer_passeris,m,fa,fa
beber_bebri,m,fa,fa
syphilis_syphilidis,f,fa,fa
canis_canis,mf,fa,fa
vallum_valli,n,fa,fa
fuga_fugae,f,fa,fa
simia_simiae,f,fa,fa
apis_apis,f,fa,fa
apicula_apiculae,f,fa,fa
canon_canonis,m,fa,fa
philosophus_philosophi,m,fa,fa
formica_formicae,f,fa,fa
arma_armorum,fn,fa,tr
arma_armae,f,fa,fa
meridies_meridiei,m,fa,fa
fenestra_fenestrae,f,fa,fa
gemini_geminorum,m,fa,tr
scorpius_scorpii,m,fa,fa
aries_arietis,m,fa,fa
regulus_reguli,m,fa,fa
piscis_piscis,m,fa,fa
cancer_cancri,m,fa,fa
rana_ranae,f,fa,fa
trio_trionis,m,fa,fa
incubus_incubi,m,fa,fa
vespertilio_vespertilionis,m,fa,fa
volantes_volantium,mf,fa,tr
pero_peronis,m,fa,fa
calx_calcis,f,fa,fa
securis_securis,f,fa,fa
camelus_cameli,m,fa,fa
pluma_plumae,f,fa,fa
luna_lunae,f,fa,fa
ren_renis,m,fa,fa
reus_rei,m,fa,fa
mos_moris,m,fa,fa
landica_landicae,f,fa,fa
bos_bovis,mf,tr,fa
cuniculus_cuniculi,m,fa,fa
dea_deae,f,fa,fa
iudex_iudicis,m,fa,fa
pagina_paginae,f,fa,fa
geographia_geographiae,f,fa,fa
lingua_linguae,f,fa,fa
architectura_architecturae,f,fa,fa
poesis_poesis,f,fa,fa
maior_maioris,m,fa,fa
exercitium_exercitii,n,fa,fa
natura_naturae,f,fa,fa
mundus_mundi,m,fa,fa
historia_historiae,f,fa,fa
interregnum_interregni,n,fa,fa
clepta_cleptae,m,fa,fa
nympha_nymphae,f,fa,fa
Aaron_Aaron,m,fa,fa
acumen_acuminis,n,fa,fa
lira_lirae,f,fa,fa
pera_perae,f,fa,fa
essentia_essentiae,f,fa,fa
administrator_administratoris,m,fa,fa
nonna_nonnae,f,fa,fa
moneta_monetae,f,fa,fa
Thebani_Thebanorum,m,fa,tr
aenigma_aenigmatis,n,fa,fa
toxicum_toxici,n,fa,fa
crus_cruris,n,fa,fa
sphinx_sphingis,f,fa,fa
omen_ominis,n,fa,fa
venenum_veneni,n,fa,fa
pestis_pestis,f,fa,fa
pollen_pollinis,n,fa,fa
agape_agapes,f,fa,fa
cadaver_cadaveris,n,fa,fa
sons_sontis,m,fa,fa
gnomon_gnomonis,m,fa,fa
pugnus_pugni,m,fa,fa
abyssus_abyssi,f,fa,fa
thronus_throni,m,fa,fa
cursor_cursoris,m,fa,fa
chrysos_chrysi,m,fa,fa
pedo_pedonis,m,fa,fa
batis_batis,f,fa,fa
candelabrum_candelabri,n,fa,fa
materia_materiae,f,fa,fa
vela_velae,f,fa,fa
mulus_muli,m,fa,fa
absentia_absentiae,f,fa,fa
vertex_verticis,m,fa,fa
sata_satorum,n,fa,tr
kilogramma_kilogrammatis,n,fa,fa
cornucopia_cornucopiae,f,fa,fa
pileus_pilei,m,fa,fa
uterus_uteri,m,fa,fa
anus_ani,m,fa,fa
anus_anus,f,fa,fa
alumna_alumnae,f,fa,fa
massa_massae,f,fa,fa
plethora_plethorae,f,fa,fa
baca_bacae,f,fa,fa
saio_saionis,m,fa,fa
Adonis_Adonidis,m,fa,fa
labda_labdae,m,fa,fa
ruma_rumae,f,fa,fa
vipera_viperae,f,fa,fa
carta_cartae,f,fa,fa
caro_carnis,f,fa,fa
coda_codae,f,fa,fa
coma_comae,f,fa,fa
dos_dotis,f,fa,fa
author_authoris,m,fa,fa
mucus_muci,m,fa,fa
alcohol_alcoholis,n,fa,fa
inductor_inductoris,m,fa,fa
memoria_memoriae,f,fa,fa
olla_ollae,f,fa,fa
Tigris_Tigridis,m,fa,fa
Euphrates_Euphratis,m,fa,fa
atomus_atomi,f,fa,fa
australis_australis,m,fa,fa
Socrates_Socratis,m,fa,fa
acerbitas_acerbitatis,f,fa,fa
necrophilia_necrophiliae,f,fa,fa
toga_togae,f,fa,fa
bolus_boli,m,fa,fa
linna_linnae,f,fa,fa
novella_novellae,f,fa,fa
pasta_pastae,f,fa,fa
Martha_Marthae,f,fa,fa
astrum_astri,n,fa,fa
generatio_generationis,f,fa,fa
cyclops_cyclopis,m,fa,fa
psyche_psyches,f,fa,fa
Ulixes_Ulixis,m,fa,fa
admiratio_admirationis,f,fa,fa
cupido_cupidinis,f,fa,fa
infans_infantis,mf,fa,fa
faba_fabae,f,fa,fa
togatus_togati,m,fa,fa
epistola_epistolae,f,fa,fa
anxietas_anxietatis,f,fa,fa
statua_statuae,f,fa,fa
exemplum_exempli,n,fa,fa
pax_pacis,f,fa,fa
aer_aeris,mf,fa,fa
cetus_ceti,m,fa,fa
episcopus_episcopi,m,fa,fa
draco_draconis,m,fa,fa
circumcisio_circumcisionis,f,fa,fa
bonus_boni,m,fa,fa
colonus_coloni,m,fa,fa
adductor_adductoris,m,fa,fa
mesa_mesae,f,fa,fa
angelus_angeli,m,fa,fa
nox_noctis,f,fa,fa
adagio_adagionis,f,fa,fa
dens_dentis,m,fa,fa
nomen_nominis,n,fa,fa
pontifex_pontificis,m,fa,fa
fractio_fractionis,f,fa,fa
amicus_amici,m,fa,fa
abbreviatio_abbreviationis,f,fa,fa
abbatissa_abbatissae,f,fa,fa
administratio_administrationis,f,fa,fa
ferrum_ferri,n,fa,fa
manus_manus,f,fa,fa
tenor_tenoris,m,fa,fa
Graecus_Graeci,m,fa,fa
populus_populi,mf,fa,fa
conclave_conclavis,n,fa,fa
filius_filii,m,fa,fa
aggressor_aggressoris,m,fa,fa
clavis_clavis,f,fa,fa
agitator_agitatoris,m,fa,fa
senior_senioris,m,fa,fa
